id,area,feature,generic_description,reusable_pipe_or_module,implementation_note,mvp_priority
MPF-053,Listing Detail Page,Contact seller CTA,"Lead/contact form, message seller, call, request info, or start purchase.",Lead handoff,Avoid full sales-management workflow.,P1
MPF-054,Listing Detail Page,Start purchase CTA,Begin checkout/reservation/deposit flow from detail page.,Transaction pipe,Can be disabled by category or seller.,P1
MPF-055,Listing Detail Page,Schedule appointment CTA,"Book viewing, pickup, demo, test use, consultation, or inspection.",Appointment pipe,Optional integration later.,P1
MPF-056,Listing Detail Page,Share listing,Generate shareable URL and native share options.,Sharing primitive,Track shares separately from leads.,P1
MPF-057,Listing Detail Page,Report listing,"Allow users to flag fraud, inaccurate info, sold item, duplicate, or unsafe content.",Safety pipe,Moderation queue later.,P1
MPF-058,Listing Detail Page,Similar listings rail,Show comparable items below the detail page.,Recommendation pipe,Use safe public data only.,P1
MPF-059,Listing Detail Page,Recently viewed rail,Show recently viewed inventory for easy backtracking.,Activity rail,Local or account-based.,P1
MPF-060,Listing Detail Page,Sticky action panel,Keep price and CTAs visible while scrolling.,Conversion shell,Desktop side rail; mobile bottom bar.,P1
MPF-061,Compare & Research,Side-by-side comparison,"Compare selected listings by price, condition, specs, fulfillment, seller, and value signal.",Compare view,Category determines comparable fields.,P1
MPF-062,Compare & Research,Market price rating,Rate listed price relative to comparable inventory.,Market signal,Use Great/Good/Fair/High-style generic badges.,P1
MPF-063,Compare & Research,Price history chart,Show price changes over time.,Pricing history,Useful for urgency and transparency.,P1
MPF-064,Compare & Research,Total cost estimator,"Estimate full cost including fees, taxes, delivery/shipping, subscription, license, or transfer.",Cost estimator,Avoid exact claims unless data is known.,P1
MPF-065,Compare & Research,Value explainer,Explain why an item is marked good value or high price.,Explainability,Use observed comparable data.,P1
MPF-066,Compare & Research,Buying guide content,"Educational content for category, brand, condition, pricing, and fulfillment.",Content pipe,Reusable guide template.,P1
MPF-067,Compare & Research,Popular searches,Show high-demand saved searches or trending category filters.,Discovery assist,Avoid exposing private user behavior.,P1
MPF-068,Compare & Research,Demand/supply signal,"Show low stock, popular listing, high views, or rare configuration.",Market signal,Avoid manipulative dark patterns.,P1
MPF-069,Compare & Research,Inspection checklist,Give buyers a category-aware checklist of what to verify before purchase.,Trust content,"Static first, dynamic later.",P1
MPF-070,Compare & Research,Ownership/care estimate,"Estimate ongoing costs like maintenance, storage, subscription, renewal, or accessories.",Research module,Vehicle-rich now; generic framework later.,P1
MPF-071,Buyer Account & Workflow,Marketplace account,"User profile for saved searches, favorites, alerts, messages, and purchase progress.",Buyer auth,Separate from operator auth.,P1
MPF-072,Buyer Account & Workflow,Favorites page,"List saved items with status, price changes, and availability.",Favorites pipe,Omit or mark unavailable safely.,P1
MPF-073,Buyer Account & Workflow,Saved search management,"View, edit, delete, and enable alerts for saved searches.",Search preferences,Email frequency setting later.,P1
MPF-074,Buyer Account & Workflow,Viewed listings history,Account-level list of recently viewed inventory.,Activity history,Privacy controls recommended.,P1
MPF-075,Buyer Account & Workflow,Lead/message inbox,Basic buyer-side record of inquiries and seller replies.,Message pipe,Not a full CRM/sales platform.,P1
MPF-076,Buyer Account & Workflow,Purchase progress tracker,"Show steps like reserved, documents, payment, fulfillment, complete.",Transaction progress,Generic statuses by category.,P2
MPF-077,Buyer Account & Workflow,Document upload,"Upload ID, proof, forms, certificates, licenses, or other purchase docs.",Document pipe,Protect sensitive files.,P2
MPF-078,Buyer Account & Workflow,Identity/verification step,Verify buyer where required for high-value or regulated categories.,Trust pipe,Category/seller configurable.,P2
MPF-079,Buyer Account & Workflow,Notification preferences,"Let users choose email/push/SMS for saved searches, messages, purchase updates.",Notification settings,Default to minimal notifications.,P2
MPF-080,Buyer Account & Workflow,Recently contacted sellers,Track sellers/items the user has contacted.,Lead history,Buyer-visible only.,P2
MPF-081,Seller & Operator Workflow,Inventory import,Create listings from CSV/API/manual entry.,Ingress pipe,Shared source ingest across categories.,P2
MPF-082,Seller & Operator Workflow,Listing editor,"Edit title, price, specs, media, condition, fulfillment, and seller notes.",Listing management,Fields generated from category schema.,P2
MPF-083,Seller & Operator Workflow,Media manager,"Upload, reorder, crop, caption, and validate listing media.",Media pipe,"Same for photos, videos, cover art, screenshots.",P2
MPF-084,Seller & Operator Workflow,Readiness checklist,"Show missing fields, media, price, fulfillment, and category-specific blockers.",Readiness rules,Category owns required fields.,P2
MPF-085,Seller & Operator Workflow,Publish status queue,"Track draft, ready, published, pending, failed, paused, archived.",Publishing pipe,Generic visible copy.,P2
MPF-086,Seller & Operator Workflow,Channel distribution,"Send listings to owned marketplace, partner channels, feeds, and embeds.",Channel pipe,Category-specific adapters only where needed.,P2
MPF-087,Seller & Operator Workflow,Listing quality score,"Score completeness of media, description, specs, price, and trust docs.",Quality signal,"Guide improvement, not buyer-facing unless intentional.",P2
MPF-088,Seller & Operator Workflow,Bulk edit,"Apply price, status, fulfillment, category, or seller updates across many listings.",Bulk ops,Audit all writes.,P2
MPF-089,Seller & Operator Workflow,Duplicate detection,"Detect duplicate listings by source ID, canonical identity, media, or core specs.",Inventory hygiene,Category-specific matching rules.,P2
MPF-090,Seller & Operator Workflow,Seller dashboard,"Show active listings, leads, saves, views, price changes, publish health.",Seller overview,"Keep BI aggregate, not full CRM.",P2
MPF-091,Seller & Operator Workflow,Lead handoff,Route contact requests to seller email/webhook/export without owning full sales workflow.,Lead handoff pipe,Minimal but reliable.,P2
MPF-092,Seller & Operator Workflow,Listing performance analytics,"Track views, saves, clicks, contacts, channel impact, and confidence.",Analytics pipe,Use observed assist language.,P2
MPF-093,Seller & Operator Workflow,Channel comparison,Compare inventory movement across channels and marketplace surfaces.,Performance view,Avoid attribution overclaiming.,P2
MPF-094,Seller & Operator Workflow,Seller profile management,"Manage public seller bio, logo, contact options, locations, fulfillment settings.",Seller profile,Reusable across seller types.,P2
MPF-095,Trust & Safety,Verified seller badge,Indicate sellers who passed verification.,Trust badge,Keep criteria documented.,P2
MPF-096,Trust & Safety,Fraud warning patterns,"Warn users about suspicious pricing, off-platform payment, mismatched details, or duplicate media.",Safety signal,Do not accuse; flag risk.,P2
