order,epic_group,work_epic,sprint_line_type,priority,goal_context,sprint_line,reuse_existing_systems,code_improvement,acceptance_signal
12,Inventory Operations + Publishing Impact,Inventory Browse v1,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add bulk selection shell with validate, queue publish, mark sold placeholders.",Existing row action patterns,Prepare ops without dangerous actions.,Selection count and disabled actions display.
13,Inventory Operations + Publishing Impact,Inventory Browse v1,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add category-safe generic row fallback for non-auto seeded/future items.,Category schema display fields,Vertical integration design.,Non-auto fixture renders without VIN labels.
14,Inventory Operations + Publishing Impact,Inventory Browse v1,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add source/ingestion chip: manual, CSV, VIN bulk, API, scheduled.","InventorySource, IngressRun",Expose import provenance.,Rows show source if known.
15,Inventory Operations + Publishing Impact,Inventory Browse v1,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add row rendering tests for auto complete item, missing data item, failed publish item.",apps/web tests,Protect demo rows.,Expected badges/actions render.
16,Inventory Operations + Publishing Impact,Inventory Browse v1,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add filter tests for readiness and sync state.,InventoryWorkspace tests,Protect operations filters.,Rows filter correctly.
17,Inventory Operations + Publishing Impact,Inventory Browse v1,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add API tests for filter/sort combinations.,Server tests,Backend owns filtering.,Expected vehicle IDs returned.
18,Inventory Operations + Publishing Impact,Inventory Browse v1,Implementation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add saved view placeholders: All, Ready to Publish, Needs Photos, Failed Publish.",Filter presets,Faster demos.,Preset buttons set filters.
19,Inventory Operations + Publishing Impact,Inventory Browse v1,Implementation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add row action menu: Edit, View Publishing, View History, Add Photos.",Existing action menu pattern,Unified navigation.,Actions route to planned detail tabs.
20,Inventory Operations + Publishing Impact,Inventory Browse v1,Implementation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add empty state per filter reason.,Existing empty state component,Helpful UX.,No ready items state suggests next action.
21,Inventory Operations + Publishing Impact,Inventory Browse v1,Implementation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add loading skeleton row cards.,Existing skeleton patterns,Polished UI.,Skeleton appears while loading.
22,Inventory Operations + Publishing Impact,Inventory Browse v1,Review,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Validate with seeded 116 vehicles and publishing data.,Mock seed,Demo-ready inventory board.,Browse remains fast and readable.
23,Inventory Operations + Publishing Impact,Inventory Browse v1,Review,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Verify admin and dealer contexts show same rows with context-specific chrome.,InventoryWorkspace,No UI fork.,Both routes pass click test.
24,Inventory Operations + Publishing Impact,Inventory Browse v1,Review,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Run frontend/backend relevant tests.,npm scripts,Keep green.,No regressions.
25,Inventory Operations + Publishing Impact,Inventory Browse v1,Cleanup,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Remove old duplicate inventory row components after migration.,InventoryAssetList legacy,Reduce redundancy.,Only one row-card implementation remains or legacy is clearly wrapped.
