order,epic_group,work_epic,sprint_line_type,priority,goal_context,sprint_line,reuse_existing_systems,code_improvement,acceptance_signal
11,Inventory Operations + Publishing Impact,Publishing Impact + Pipeline Summary,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Compute failed reason from queue failure/sync event/platform account safely.,"PublishQueueItem.failureReason, SyncEvent payload",No secret/provider raw leakage.,Safe reason shown; raw secrets excluded.
12,Inventory Operations + Publishing Impact,Publishing Impact + Pipeline Summary,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add publishing impact preview for proposed edits.,"SyncPolicy, capability manifest",Predict downstream queue behavior.,PATCH payload returns affected platforms.
13,Inventory Operations + Publishing Impact,Publishing Impact + Pipeline Summary,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add urgent removal impact for sold/removed status.,SyncPolicy.urgentRemoval,Sold flow is critical.,Mark sold preview lists urgent removals.
14,Inventory Operations + Publishing Impact,Publishing Impact + Pipeline Summary,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add photo-change impact using MediaSlot readiness.,"Media readiness, platform capabilities",Photos affect publishing quality.,Missing/changed shots impact summary.
15,Inventory Operations + Publishing Impact,Publishing Impact + Pipeline Summary,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add platform account setup links in nextAction hrefs.,Platform routes/admin dealer routes,Actionable UI.,Next action routes to setup page.
16,Inventory Operations + Publishing Impact,Publishing Impact + Pipeline Summary,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add summary badges to browse rows and detail publishing tab.,Inventory UI,Make pipeline visible.,Counts match service tests.
17,Inventory Operations + Publishing Impact,Publishing Impact + Pipeline Summary,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add ingestion summary impact after import commit.,"IngressRun, readiness, queue service",Import shows downstream results.,Commit summary says ready/queued/blocked.
18,Inventory Operations + Publishing Impact,Publishing Impact + Pipeline Summary,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add service tests for clean live item.,Seed-like fixtures,Protect happy path.,Summary says ready/live no blockers.
19,Inventory Operations + Publishing Impact,Publishing Impact + Pipeline Summary,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add service tests for missing data item.,Readiness fixtures,Protect readiness precedence.,Next action says Add photos/price.
20,Inventory Operations + Publishing Impact,Publishing Impact + Pipeline Summary,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add service tests for credentials-needed platform.,PlatformAccount fixtures,Protect blocker logic.,Blocked count and setup link correct.
21,Inventory Operations + Publishing Impact,Publishing Impact + Pipeline Summary,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add service tests for failed queue item.,PublishQueueItem fixture,Protect error state.,Failed count/reason correct.
22,Inventory Operations + Publishing Impact,Publishing Impact + Pipeline Summary,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add service tests for sold urgent removal impact.,SyncPolicy fixture,Protect sold flow.,Urgent platforms listed.
23,Inventory Operations + Publishing Impact,Publishing Impact + Pipeline Summary,Implementation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add stale sync detection using lastDispatchedAt/minInterval and item updatedAt.,"SyncPolicy, Vehicle.updatedAt",Find stale inventory.,Stale count appears when item newer than sync.
24,Inventory Operations + Publishing Impact,Publishing Impact + Pipeline Summary,Implementation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add performance hint: high views/no leads, slow mover, stale listing.","VehiclePerformanceCache, PlatformPerformanceSummary",Tie ops to results.,Performance hint appears only with data.
25,Inventory Operations + Publishing Impact,Publishing Impact + Pipeline Summary,Documentation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Document summary calculation and status precedence.,Developer docs,Prevent future inconsistent badges.,Docs include examples.
26,Inventory Operations + Publishing Impact,Publishing Impact + Pipeline Summary,Review,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Validate seeded demo rows with known queue/live/blocked combinations.,Mock data,Demo trust.,Visible counts match seed expectations.
27,Inventory Operations + Publishing Impact,Publishing Impact + Pipeline Summary,Review,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Run backend/frontend tests and inspect query count if tooling exists.,Tests/perf logs,Avoid slow inventory list.,No regressions; query count acceptable.
