order,epic_group,work_epic,sprint_line_type,priority,goal_context,sprint_line,reuse_existing_systems,code_improvement,acceptance_signal
11,Automotive VIN-First Onboarding,Bulk VIN / CSV VIN Import,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Queue publishing impact summary after commit but do not auto-publish unless policy says so.,"PublishQueueItem, SyncPolicy",Respect existing pipeline.,Summary shows queued/blocked counts.
12,Automotive VIN-First Onboarding,Bulk VIN / CSV VIN Import,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add CSV upload preview with minimal parser for header row and mapping.,Import alias map,Reuse same staged row shape.,CSV VIN file previews like paste flow.
13,Automotive VIN-First Onboarding,Bulk VIN / CSV VIN Import,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add column mapping UI only for unmapped important columns.,Category schema importFields,Avoid overbuilt mapper initially.,Unknown VIN column prompts mapping.
14,Automotive VIN-First Onboarding,Bulk VIN / CSV VIN Import,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add row-level edit before commit for stock/price/mileage if CSV supplied them.,Preview state,Improve import quality.,Edited preview row commits corrected values.
15,Automotive VIN-First Onboarding,Bulk VIN / CSV VIN Import,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add IngressRun records for preview and commit phases.,"InventorySource, IngressRun",Trace import lifecycle.,Sources tab shows run summary.
16,Automotive VIN-First Onboarding,Bulk VIN / CSV VIN Import,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add parser tests for paste list with whitespace, duplicates, invalid VINs.",VIN parser,Protect messy input.,Parser classifies rows correctly.
17,Automotive VIN-First Onboarding,Bulk VIN / CSV VIN Import,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add CSV preview tests for alias mapping and missing VIN column.,CSV parser fixtures,Prevent mapper regressions.,Known fixture maps correctly.
18,Automotive VIN-First Onboarding,Bulk VIN / CSV VIN Import,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add commit route tests with partial success.,Server route tests,Import never all-or-nothing unless configured.,Valid rows commit; invalid rows remain failed.
19,Automotive VIN-First Onboarding,Bulk VIN / CSV VIN Import,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add UI tests for preview and commit summary.,apps/web tests,Protect demo flow.,Summary counts appear.
20,Automotive VIN-First Onboarding,Bulk VIN / CSV VIN Import,Implementation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add cancellation/abandon run behavior.,IngressRun status,Clean staged previews.,Cancelled preview doesn’t commit rows.
21,Automotive VIN-First Onboarding,Bulk VIN / CSV VIN Import,Implementation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add import source label: Bulk VIN, CSV import, Admin import, Dealer import.",InventorySource/IngressRun,Better history/audit.,Run source displays in Sources tab.
22,Automotive VIN-First Onboarding,Bulk VIN / CSV VIN Import,Implementation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add max rows guard for MVP imports.,Route validation,Protect server/provider.,Large imports return clear limit message.
23,Automotive VIN-First Onboarding,Bulk VIN / CSV VIN Import,Documentation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add sample CSV templates for auto VIN import.,mock-data/templates,Support demos and pilots.,"Template includes VIN, stock, price, mileage, photo URLs."
24,Automotive VIN-First Onboarding,Bulk VIN / CSV VIN Import,Review,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Run one seeded demo import and verify browse/ingress/queue/history updates.,Local app,End-to-end confidence.,New vehicles appear with readiness/publishing summary.
25,Automotive VIN-First Onboarding,Bulk VIN / CSV VIN Import,Review,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Run tests/typecheck/openapi.,npm scripts,Keep green.,No regressions.
