order,epic_group,work_epic,sprint_line_type,priority,goal_context,sprint_line,reuse_existing_systems,code_improvement,acceptance_signal
11,Structured Media / Shot Guide,MediaSlot + ShotGuide Taxonomy,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add detail slots: engine, vin-plate, window-sticker, keys, wheels, tires, damage-detail.",AutoShotGuide,Readiness and quality prompts.,Detail slots present.
12,Structured Media / Shot Guide,MediaSlot + ShotGuide Taxonomy,Design,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Define minimum auto publish-ready shot set.,Readiness rules,Not every slot required for every platform.,Minimum set documented.
13,Structured Media / Shot Guide,MediaSlot + ShotGuide Taxonomy,Design,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Define recommended auto shot set separate from required set.,Readiness rules,Support quality scoring.,Recommended vs required visible in guide.
14,Structured Media / Shot Guide,MediaSlot + ShotGuide Taxonomy,Design,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Define slot aliases for import/photo classification later.,AutoShotGuide aliases,Future AI/OCR/classifier seam.,Aliases added for common terms.
15,Structured Media / Shot Guide,MediaSlot + ShotGuide Taxonomy,Design,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Define non-auto examples: boats, apparel/jewelry, real estate with their own slot language.",category-schemas examples,Vertical integration proof.,At least three non-auto guides sketched.
16,Structured Media / Shot Guide,MediaSlot + ShotGuide Taxonomy,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add helper getMediaGuide(category).,category-schemas exports,One lookup for UI/API.,Auto returns AutoShotGuide.
17,Structured Media / Shot Guide,MediaSlot + ShotGuide Taxonomy,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add helper getMissingMediaSlots(category, media).",Readiness service,Central media readiness.,Tests detect missing front/odometer.
18,Structured Media / Shot Guide,MediaSlot + ShotGuide Taxonomy,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add placeholder platformMappings object but do not wire exports yet.,Catalog/listing bridges,Prepare adapters without scope creep.,Mappings type exists but unused.
19,Structured Media / Shot Guide,MediaSlot + ShotGuide Taxonomy,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add category-schemas tests for unique slot keys and sort order.,category-schemas tests,Prevent taxonomy drift.,Duplicate key test fails if duplicated.
20,Structured Media / Shot Guide,MediaSlot + ShotGuide Taxonomy,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add tests for auto required/recommended groups.,AutoShotGuide,Protect auto-first priority.,Minimum required slots stay present.
21,Structured Media / Shot Guide,MediaSlot + ShotGuide Taxonomy,Documentation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Write MediaSlot ADR: internal taxonomy richer than third-party image requirements.,docs/walkthrough,Guide adapter decisions.,ADR explains structured vs gallery.
22,Structured Media / Shot Guide,MediaSlot + ShotGuide Taxonomy,Documentation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Document that GalleryImage is valid fallback but not a substitute for required structured shots.,Docs/UI copy,Set quality expectations.,Docs include examples.
23,Structured Media / Shot Guide,MediaSlot + ShotGuide Taxonomy,Review,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Search for hardcoded photo position labels and list migration candidates.,apps/web/src search,Plan cleanup without huge rewrite.,Candidate list exists.
24,Structured Media / Shot Guide,MediaSlot + ShotGuide Taxonomy,Review,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Confirm no AI classification/OCR is implemented in taxonomy sprint.,Code review,Keep scope bounded.,No classifier code exists.
25,Structured Media / Shot Guide,MediaSlot + ShotGuide Taxonomy,Review,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Run package build and tests.,category-schemas tsconfig,Keep prebuild healthy.,Package compiles.
