order,epic_group,work_epic,sprint_line_type,priority,goal_context,sprint_line,reuse_existing_systems,code_improvement,acceptance_signal
11,Shared Inventory Foundation,Shared InventoryWorkspace UI Shell,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add placeholder Add/Import entry point with VIN/CSV/manual choices.,Existing buttons/modals styles,Prepare next epic without implementing flows.,Add/import tab has route-safe placeholders.
12,Shared Inventory Foundation,Shared InventoryWorkspace UI Shell,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add permission-aware actions: admin sees inspect/admin context, dealer sees normal edit/publish actions.",User role from auth,Do not fork components.,Actions are conditionally rendered by capability/permission.
13,Shared Inventory Foundation,Shared InventoryWorkspace UI Shell,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add empty/loading/error states for each tab.,Existing loading panels,Consistent UX across contexts.,No blank tab states.
14,Shared Inventory Foundation,Shared InventoryWorkspace UI Shell,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add mobile row-card behavior checks.,Existing mobile-first patterns,Keep mobile app direction aligned.,Row cards remain readable at narrow width.
15,Shared Inventory Foundation,Shared InventoryWorkspace UI Shell,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add rendering tests for admin context vs dealer context.,Existing app/page tests,Prevent UI fork regression.,Same InventoryWorkspace renders with different chrome.
16,Shared Inventory Foundation,Shared InventoryWorkspace UI Shell,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add route tests for admin and dealer inventory paths.,lib/routes tests,Keep routing explicit.,Routes parse dealerId and context correctly.
17,Shared Inventory Foundation,Shared InventoryWorkspace UI Shell,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add no-duplicate-slug/hardcoded category labels sanity test if practical.,Search or helper tests,Prevent vehicle-only drift.,Test or lint note protects schema helper usage.
18,Shared Inventory Foundation,Shared InventoryWorkspace UI Shell,Implementation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add InventoryWorkspaceContext provider for dealerId, role, category schema, permissions.",React context/hooks,Stop prop drilling without global coupling.,Subcomponents consume shared context.
19,Shared Inventory Foundation,Shared InventoryWorkspace UI Shell,Implementation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add useInventoryList hook using generated SDK endpoint.,Generated SDK,Typed API consumption.,Hook returns loading/error/data and filters.
20,Shared Inventory Foundation,Shared InventoryWorkspace UI Shell,Implementation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add feature flag or hidden tab guard for incomplete onboarding flows.,Config/flags pattern if exists,Avoid shipping broken CTAs.,Incomplete tabs display planned state honestly.
21,Shared Inventory Foundation,Shared InventoryWorkspace UI Shell,Documentation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Document rule: no separate admin inventory UI; use InventoryWorkspace context.,developer docs,Guide future work.,Docs include import example.
22,Shared Inventory Foundation,Shared InventoryWorkspace UI Shell,Review,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Click through admin overview → dealer management → inventory and normal operator inventory.,Seeded data,Demo flow sanity.,Both paths reach same workspace.
23,Shared Inventory Foundation,Shared InventoryWorkspace UI Shell,Review,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Run frontend tests, typecheck, build.",npm scripts,Keep green.,No new type/build failures.
24,Shared Inventory Foundation,Shared InventoryWorkspace UI Shell,Cleanup,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Remove dead wrapper code only after shared workspace is stable.,Existing InventoryPage,Avoid risky cleanup during first pass.,No unused imports or duplicate component files.
25,Shared Inventory Foundation,Shared InventoryWorkspace UI Shell,Cleanup,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add TODOs for future edit/detail/deep links rather than speculative code.,Component comments/backlog,Keep scope bounded.,TODOs are explicit and searchable.
