order,epic_group,work_epic,sprint_line_type,priority,goal_context,sprint_line,reuse_existing_systems,code_improvement,acceptance_signal
15,Shared Inventory Foundation,Shared Inventory API + DTOs,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add filter parser for category, status, readiness, source, sync state, missing data, search.",Existing inventory list filters,Single parser used by admin/dealer UI.,Tests cover common filter combinations.
16,Shared Inventory Foundation,Shared Inventory API + DTOs,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add pagination and sort contract.,Existing pagination style,Prevent large dealer inventories from choking UI.,List endpoint supports cursor or page limit.
17,Shared Inventory Foundation,Shared Inventory API + DTOs,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add OpenAPI definitions and regenerate SDK.,OpenAPI + generated client SDK,Keep frontend typed.,openapi:validate and client generate pass.
18,Shared Inventory Foundation,Shared Inventory API + DTOs,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add permission tests: SUPER_ADMIN can access any dealer, OPERATOR only assigned dealers.",operatorGuard patterns,Reuse existing auth tests.,Forbidden dealer access returns 403.
19,Shared Inventory Foundation,Shared Inventory API + DTOs,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add DTO tests using seeded/mock vehicle with publishing queue items.,Mock fixtures,Protect summary logic.,Expected nextAction and counts match fixtures.
20,Shared Inventory Foundation,Shared Inventory API + DTOs,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add null-safe tests for vehicles with no media, no queue, no performance cache.",Seeded messy vehicles,Avoid browse crashes.,Rows render neutral summaries.
21,Shared Inventory Foundation,Shared Inventory API + DTOs,Implementation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add response timing/log labels for inventory list/detail.,Existing logging/error handler,Improve operational debugging.,Logs identify dealerId and endpoint without secrets.
22,Shared Inventory Foundation,Shared Inventory API + DTOs,Implementation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add service-level TODO seam for future InventoryDraft.,Inventory service comments/types,Keep future staged import clear.,TODO references sprint file and planned DTO.
23,Shared Inventory Foundation,Shared Inventory API + DTOs,Documentation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Document shared inventory API and DTO ownership.,walkthrough.md,Prevent admin/dealer route fork.,Docs say all contexts use /api/dealers/:dealerId/inventory.
24,Shared Inventory Foundation,Shared Inventory API + DTOs,Review,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Search for frontend inventory pages still calling raw Vehicle-shaped APIs directly.,apps/web search,"Make cleanup backlog, not a giant rewrite.",List of consumers to migrate exists.
25,Shared Inventory Foundation,Shared Inventory API + DTOs,Review,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Run tests/typecheck/openapi after SDK generation.,npm scripts,Keep pipeline green.,All relevant validations pass.
