order,epic_group,work_epic,sprint_line_type,priority,goal_context,sprint_line,reuse_existing_systems,code_improvement,acceptance_signal
11,Automotive VIN-First Onboarding,Single VIN Onboarding Flow,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"After creation, route to item detail/edit or show next action Add photos/price.",InventoryWorkspace navigation,Onboarding flows into cleanup.,Created vehicle appears in browse with readiness gaps.
12,Automotive VIN-First Onboarding,Single VIN Onboarding Flow,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add IngressRun entry for single VIN onboarding.,InventorySource/IngressRun,Track source and audit.,IngressRun shows one created vehicle.
13,Automotive VIN-First Onboarding,Single VIN Onboarding Flow,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add VehicleLifecycleEvent or VehicleUpdate for VIN-created shell.,"VehicleLifecycleEvent, VehicleUpdate",History starts at onboarding.,History includes source=VIN entry.
14,Automotive VIN-First Onboarding,Single VIN Onboarding Flow,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add AdminAuditLog if SUPER_ADMIN creates inventory for dealer.,AdminAuditLog,Admin changes are traceable.,"Audit event records dealerId and action, no secrets."
15,Automotive VIN-First Onboarding,Single VIN Onboarding Flow,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add UI tests for valid VIN decode path.,apps/web tests,Protect flow.,Panel displays decoded result.
16,Automotive VIN-First Onboarding,Single VIN Onboarding Flow,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add UI tests for invalid VIN and duplicate VIN.,apps/web tests,Protect edge states.,Error and duplicate states render.
17,Automotive VIN-First Onboarding,Single VIN Onboarding Flow,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add route tests for create-from-vin permissions.,Server auth tests,Shared API security.,Admin allowed; unassigned operator forbidden.
18,Automotive VIN-First Onboarding,Single VIN Onboarding Flow,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add service tests for required placeholder strategy.,Vehicle creation service,Avoid invalid required DB fields.,Shell creation succeeds with honest missing readiness.
19,Automotive VIN-First Onboarding,Single VIN Onboarding Flow,Implementation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add success summary: Created vehicle shell, missing price/photos, ready for X/Y platforms.",Readiness + publishing summary builders,Cross-pollinate publishing early.,Success card includes next action.
20,Automotive VIN-First Onboarding,Single VIN Onboarding Flow,Implementation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add reset/add another VIN control.,VinEntryPanel,Speed up dealer onboarding.,User can enter next VIN without leaving flow.
21,Automotive VIN-First Onboarding,Single VIN Onboarding Flow,Implementation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add loading states and provider failure retry.,Decode endpoint,Resilient UX.,Provider failure can retry or save manual shell.
22,Automotive VIN-First Onboarding,Single VIN Onboarding Flow,Implementation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add manual fallback path if decode fails but VIN is valid.,Manual add placeholder,Don’t block onboarding.,User can create shell with VIN only.
23,Automotive VIN-First Onboarding,Single VIN Onboarding Flow,Documentation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Document VIN-first flow for demos.,README/walkthrough,Make demo repeatable.,Docs include test VIN and expected result.
24,Automotive VIN-First Onboarding,Single VIN Onboarding Flow,Review,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Click through admin and dealer contexts using seeded dealer.,Local seeded app,Verify no context fork.,Both contexts create via same component.
25,Automotive VIN-First Onboarding,Single VIN Onboarding Flow,Review,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Run full relevant tests/build.,npm scripts,Keep green.,No regressions.
